NodeName,NodeIpAddress,ConfigType,ConfigTitle,AAA Authentication Login,Cisco NTP,Cisco VTY NOT TELNET,Cisco VTY SSH_Copy,Cisco-Logging_Copy,No public Community String,NTP Server Settings,Verify Enable Password Level,Verify Username Password Level
WY-CasperPlant-01-ScadaSwitch-04-Microwave,10.128.2.74,Startup,12/19/2019 01:20 AM - Startup,Passed,Passed,Passed,Passed,"Warning - 
Pattern 'logging host 10.210.240.95' was not found","Warning - 
Pattern 'snmp-server community public' was found
   On line 137 'snmp-server community public RO'","Warning - 
Pattern 'ntp clock-period \d*.*\n(.*\n)*.*ntp server 10.10.77.24' was not found",Passed,"Warning - 
Pattern 'username techopsadmin privilege 15 secret ' was not found"
WY-PXPMLV-013-Switch-01,10.169.24.58,Running,12/19/2019 01:02 AM - Running,Passed,Passed,"Critical - 
Pattern 'transport input telnet*.*|transport input telnet ssh' was found
   On line 179 ' transport input telnet ssh'",Passed,"Warning - 
Pattern 'logging host 10.210.240.95' was not found",Passed,"Warning - 
Pattern 'ntp clock-period \d*.*\n(.*\n)*.*ntp server 10.10.77.24' was not found",Passed,"Warning - 
Pattern 'username techopsadmin privilege 15 secret ' was not found"
WY-WellDraw-01-Switch-01,10.128.38.2,Startup,12/19/2019 01:28 AM - Startup,Passed,Passed,Passed,Passed,"Warning - 
Pattern 'logging host 10.210.240.95' was not found","Warning - 
Pattern 'snmp-server community public' was found
   On line 122 'snmp-server community public RO'","Warning - 
Pattern 'ntp clock-period \d*.*\n(.*\n)*.*ntp server 10.10.77.24' was not found",Passed,"Warning - 
Pattern 'username techopsadmin privilege 15 secret ' was not found"
WY-LaGrange-01-ScadaSwitch-01-PDC,10.169.5.8,Startup,11/27/2019 11:38 AM - Startup,Passed,Passed,Passed,Passed,"Warning - 
Pattern 'logging host 10.210.240.95' was not found","Warning - 
Pattern 'snmp-server community public' was found
   On line 165 'snmp-server community public RO'","Warning - 
Pattern 'ntp clock-period \d*.*\n(.*\n)*.*ntp server 10.10.77.24' was not found",Passed,"Warning - 
Pattern 'username techopsadmin privilege 15 secret ' was not found"
KS-PXPMLV-107-Switch-01,10.169.25.194,Running,12/19/2019 01:05 AM - Running,Passed,Passed,Passed,Passed,"Warning - 
Pattern 'logging host 10.210.240.95' was not found",Passed,"Warning - 
Pattern 'ntp clock-period \d*.*\n(.*\n)*.*ntp server 10.10.77.24' was not found",Passed,"Warning - 
Pattern 'username techopsadmin privilege 15 secret ' was not found"
KS-Jennings-01-ScadaSwitch-02-PumpBuilding,10.169.9.5,Startup,12/19/2019 01:44 AM - Startup,Passed,Passed,Passed,Passed,"Warning - 
Pattern 'logging host 10.210.240.95' was not found",Passed,"Warning - 
Pattern 'ntp clock-period \d*.*\n(.*\n)*.*ntp server 10.10.77.24' was not found",Passed,Passed
CO-GrandJunction-01-Switch-01,10.84.1.2,Startup,12/19/2019 01:36 AM - Startup,Passed,"Warning - 
Pattern 'ntp server 10.210.240.160*.*|ntp server vrf tallgrass-business 10.210.20.104*.*|ntp server 10.210.20.102*.*|ntp server 10.210.20.104*.*
' was not found",Passed,Passed,Passed,Passed,"Warning - 
Pattern 'ntp clock-period \d*.*\n(.*\n)*.*ntp server 10.10.77.24' was not found",Passed,"Warning - 
Pattern 'username techopsadmin privilege 15 secret ' was not found"
OH-NewConcordMLV102-01-Router-01,172.17.3.161,Startup,12/19/2019 01:13 AM - Startup,Passed,Passed,Passed,Passed,"Warning - 
Pattern 'logging host 10.210.240.95' was not found",Passed,"Warning - 
Pattern 'ntp clock-period \d*.*\n(.*\n)*.*ntp server 10.10.77.24' was not found",Passed,"Warning - 
Pattern 'username techopsadmin privilege 15 secret ' was not found"
NE-HoldregeTower-01-Router-02,172.17.3.127,Running,2/2/2020 01:22 AM - Running,Passed,Passed,Passed,Passed,Passed,Passed,"Warning - 
Pattern 'ntp clock-period \d*.*\n(.*\n)*.*ntp server 10.10.77.24' was not found",Passed,"Warning - 
Pattern 'username techopsadmin privilege 15 secret ' was not found"
IL-Spire-01-Router-01,172.16.3.167,Startup,2/11/2020 11:23 PM - Startup,Passed,"Warning - 
Pattern 'ntp server 10.210.240.160*.*|ntp server vrf tallgrass-business 10.210.20.104*.*|ntp server 10.210.20.102*.*|ntp server 10.210.20.104*.*
' was not found",Passed,Passed,"Warning - 
Pattern 'logging host 10.210.240.95' was not found",Passed,"Warning - 
Pattern 'ntp clock-period \d*.*\n(.*\n)*.*ntp server 10.10.77.24' was not found",Passed,"Warning - 
Pattern 'username techopsadmin privilege 15 secret ' was not found"
OK-PXPMLV-109-Switch-01,10.169.25.210,Running,12/19/2019 01:05 AM - Running,Passed,Passed,Passed,Passed,"Warning - 
Pattern 'logging host 10.210.240.95' was not found",Passed,"Warning - 
Pattern 'ntp clock-period \d*.*\n(.*\n)*.*ntp server 10.10.77.24' was not found",Passed,"Warning - 
Pattern 'username techopsadmin privilege 15 secret ' was not found"
CO-Carr-01-Switch-04,10.64.72.248,Running,12/19/2019 01:11 AM - Running,Passed,"Warning - 
Pattern 'ntp server 10.210.240.160*.*|ntp server vrf tallgrass-business 10.210.20.104*.*|ntp server 10.210.20.102*.*|ntp server 10.210.20.104*.*
' was not found",Passed,Passed,Passed,Passed,"Warning - 
Pattern 'ntp clock-period \d*.*\n(.*\n)*.*ntp server 10.10.77.24' was not found",Passed,"Warning - 
Pattern 'username techopsadmin privilege 15 secret ' was not found"
WY-CasperPlant-01-ScadaSwitch-15-ROC,10.128.2.85,Startup,12/19/2019 01:23 AM - Startup,Passed,Passed,Passed,Passed,"Warning - 
Pattern 'logging host 10.210.240.95' was not found","Warning - 
Pattern 'snmp-server community public' was found
   On line 136 'snmp-server community public RO'","Warning - 
Pattern 'ntp clock-period \d*.*\n(.*\n)*.*ntp server 10.10.77.24' was not found",Passed,"Warning - 
Pattern 'username techopsadmin privilege 15 secret ' was not found"
OK-Newkirk-01-ScadaSwitch-05-Pump,10.169.28.8,Startup,12/19/2019 01:44 AM - Startup,Passed,Passed,Passed,Passed,"Warning - 
Pattern 'logging host 10.210.240.95' was not found",Passed,"Warning - 
Pattern 'ntp clock-period \d*.*\n(.*\n)*.*ntp server 10.10.77.24' was not found",Passed,Passed
WY-CasperPlant-01-Switch-12,10.36.56.161,Startup,12/19/2019 01:27 AM - Startup,Passed,Passed,Passed,Passed,"Warning - 
Pattern 'logging host 10.210.240.95' was not found","Warning - 
Pattern 'snmp-server community public' was found
   On line 133 'snmp-server community public RO'","Warning - 
Pattern 'ntp clock-period \d*.*\n(.*\n)*.*ntp server 10.10.77.24' was not found",Passed,"Warning - 
Pattern 'username techopsadmin privilege 15 secret ' was not found"
KS-PXPMLV-096-Switch-01,10.169.25.138,Running,12/19/2019 01:05 AM - Running,Passed,Passed,Passed,Passed,"Warning - 
Pattern 'logging host 10.210.240.95' was not found",Passed,"Warning - 
Pattern 'ntp clock-period \d*.*\n(.*\n)*.*ntp server 10.10.77.24' was not found",Passed,"Warning - 
Pattern 'username techopsadmin privilege 15 secret ' was not found"
